Device,Lat,Lon
L1,37.192824,-8.183344
L2,37.192883,-8.183197
L3,37.192934,-8.183071
L4,37.192984,-8.182946
L5,37.193034,-8.182815
L6,37.192731,-8.183325
L7,37.192779,-8.183197
L8,37.192828,-8.183080
L9,37.192878,-8.182948
L10,37.192933,-8.182806
L11,37.192618,-8.183216
L12,37.192672,-8.183081
L13,37.192723,-8.182952
L14,37.192775,-8.182817
L15,37.192828,-8.182685
L16,37.192511,-8.183224
L17,37.192561,-8.183091
L18,37.192612,-8.182964
L19,37.192669,-8.182822
L20,37.192719,-8.182701
L21,37.192517,-8.182951
L22,37.192556,-8.182987
L23,37.1925,-8.182846
L24,37.192558,-8.182713
L25,37.192606,-8.182585
